1997,Tina Thompson,60.7
1998,Tangela Smith,27.8
1999,Yolanda Griffith,59.4
2000,Ann Wauters,20.2
2001,Tamika Catchings,93.7
2002,Sue Bird,61.6
2003,Kara Lawson,35.2
2004,Diana Taurasi,71.2
2005,Sancho Lyttle,35.7
2006,Candice Dupree,44.2
2007,Camille Little,21.7
2008,Sylvia Fowles,73.5
2009,DeWanna Bonner,51.7
2010,Tina Charles,42.2
2011,Maya Moore,53.5
2012,Nneka Ogwumike,57.2
2013,Elena Delle Donne,47.4
2014,Alyssa Thomas,23.9
2015,Jewell Loyd,21.3
2016,Breanna Stewart,35.2
2017,Brionna Jones,16.9
2018,A'ja Wilson,23.8
2019,Napheesa Collier,12.7
2020,Sabrina Ionescu,5.9
2021,Aari McDonald,2.3
2022,Shakira Austin,3.1
